id,name,link
341086807_9_9a6d892ba108de9f8d,Popular songs of 1958,https://vk.com/music/playlist/341086807_9_9a6d892ba108de9f8d
341086807_22_e77332f10e20637648,Popular songs of 1959,https://vk.com/music/playlist/341086807_22_e77332f10e20637648
341086807_23_2b22e6affe133274ea,Popular songs of 1960,https://vk.com/music/playlist/341086807_23_2b22e6affe133274ea
341086807_24_da2df8b7ee43613f8f,Popular songs of 1961,https://vk.com/music/playlist/341086807_24_da2df8b7ee43613f8f
341086807_25_9a52300bf22890a4c7,Popular songs of 1962,https://vk.com/music/playlist/341086807_25_9a52300bf22890a4c7
341086807_26_32f564171fac36bc7b,Popular songs of 1963,https://vk.com/music/playlist/341086807_26_32f564171fac36bc7b
341086807_27_5691f2fb52a6544f39,Popular songs of 1964,https://vk.com/music/playlist/341086807_27_5691f2fb52a6544f39 
341086807_28_a4343868577d7344bd,Popular songs of 1965,https://vk.com/music/playlist/341086807_28_a4343868577d7344bd
341086807_184_81ebce6a6d78a5933c,Popular songs of 1966,https://vk.com/music/playlist/341086807_184_81ebce6a6d78a5933c
341086807_181_cceff35ba62b391fd3,Popular songs of 1967,https://vk.com/music/playlist/341086807_181_cceff35ba62b391fd3
341086807_180_cc9052fdf41a235e63,Popular songs of 1968,https://vk.com/music/playlist/341086807_180_cc9052fdf41a235e63
341086807_179_39d871a39b61d6ffeb,Popular songs of 1969,https://vk.com/music/playlist/341086807_179_39d871a39b61d6ffeb
341086807_178_c99bc8d63f3ac44ed0,Popular songs of 1970,https://vk.com/music/playlist/341086807_178_c99bc8d63f3ac44ed0
341086807_177_6685ee0e5428558069,Popular songs of 1971,https://vk.com/music/playlist/341086807_177_6685ee0e5428558069
341086807_176_0f6d0ffe533bd8222a,Popular songs of 1972,https://vk.com/music/playlist/341086807_176_0f6d0ffe533bd8222a
341086807_175_8e2b2586c4e1b31b08,Popular songs of 1973,https://vk.com/music/playlist/341086807_175_8e2b2586c4e1b31b08
341086807_174_fec632e30d56f1285a,Popular songs of 1974,https://vk.com/music/playlist/341086807_174_fec632e30d56f1285a
341086807_173_bea70aceb2c0f9e17e,Popular songs of 1975,https://vk.com/music/playlist/341086807_173_bea70aceb2c0f9e17e
341086807_172_7ab241197b6c98ab7e,Popular songs of 1976,https://vk.com/music/playlist/341086807_172_7ab241197b6c98ab7e
341086807_171_8c1f1ab9fc49375c0d,Popular songs of 1977,https://vk.com/music/playlist/341086807_171_8c1f1ab9fc49375c0d
341086807_170_d06a9cd4aadc9ca47b,Popular songs of 1978,https://vk.com/music/playlist/341086807_170_d06a9cd4aadc9ca47b
341086807_169_9bedb5f40cd67f7cd0,Popular songs of 1979,https://vk.com/music/playlist/341086807_169_9bedb5f40cd67f7cd0
341086807_168_dcd23788ad6c034d37,Popular songs of 1980,https://vk.com/music/playlist/341086807_168_dcd23788ad6c034d37
341086807_167_bd72ee35d183d59816,Popular songs of 1981,https://vk.com/music/playlist/341086807_167_bd72ee35d183d59816
341086807_166_864392fbb0835cabe9,Popular songs of 1982,https://vk.com/music/playlist/341086807_166_864392fbb0835cabe9
341086807_165_f406c1aa7f22c47f6b,Popular songs of 1983,https://vk.com/music/playlist/341086807_165_f406c1aa7f22c47f6b
341086807_164_a3b337d19481ab5503,Popular songs of 1984,https://vk.com/music/playlist/341086807_164_a3b337d19481ab5503
341086807_163_ec88e15167c75b053b,Popular songs of 1985,https://vk.com/music/playlist/341086807_163_ec88e15167c75b053b
341086807_162_cb54857024705b3d2c,Popular songs of 1986,https://vk.com/music/playlist/341086807_162_cb54857024705b3d2c
341086807_161_b3e5ce1bb708841adb,Popular songs of 1987,https://vk.com/music/playlist/341086807_161_b3e5ce1bb708841adb
341086807_160_5364a4d6765a322d89,Popular songs of 1988,https://vk.com/music/playlist/341086807_160_5364a4d6765a322d89
341086807_159_8e5733832b8f7bbb21,Popular songs of 1989,https://vk.com/music/playlist/341086807_159_8e5733832b8f7bbb21
341086807_158_4ef47d699185006dd4,Popular songs of 1990,https://vk.com/music/playlist/341086807_158_4ef47d699185006dd4
341086807_157_62577e433168640fb4,Popular songs of 1991,https://vk.com/music/playlist/341086807_157_62577e433168640fb4
341086807_156_c96d2dc647ce7669b8,Popular songs of 1992,https://vk.com/music/playlist/341086807_156_c96d2dc647ce7669b8
341086807_155_e9b268a1693607d5b6,Popular songs of 1993,https://vk.com/music/playlist/341086807_155_e9b268a1693607d5b6
341086807_154_eeec4aa25580e11747,Popular songs of 1994,https://vk.com/music/playlist/341086807_154_eeec4aa25580e11747
341086807_153_e85e34a0c43ab6ab08,Popular songs of 1995,https://vk.com/music/playlist/341086807_153_e85e34a0c43ab6ab08
341086807_152_0b5b70262b0798e568,Popular songs of 1996,https://vk.com/music/playlist/341086807_152_0b5b70262b0798e568
341086807_151_afdcee889a92238ccd,Popular songs of 1997,https://vk.com/music/playlist/341086807_151_afdcee889a92238ccd
341086807_150_425dbcad4e7e9a2f7c,Popular songs of 1998,https://vk.com/music/playlist/341086807_150_425dbcad4e7e9a2f7c
341086807_148_44751e143a9aad1a9e,Popular songs of 1999,https://vk.com/music/playlist/341086807_148_44751e143a9aad1a9e
341086807_149_565fe0138a4ea4c3f5,Popular songs of 2000,https://vk.com/music/playlist/341086807_149_565fe0138a4ea4c3f5
341086807_200_60e8ce2009517e7775,Popular songs of 2001,https://vk.com/music/playlist/341086807_200_60e8ce2009517e7775
341086807_201_a75334641e2ba00c16,Popular songs of 2002,https://vk.com/music/playlist/341086807_201_a75334641e2ba00c16
341086807_202_610bc11568d4988da5,Popular songs of 2003,https://vk.com/music/playlist/341086807_202_610bc11568d4988da5
341086807_203_95d2aee79c363b374a,Popular songs of 2004,https://vk.com/music/playlist/341086807_203_95d2aee79c363b374a
341086807_224_63607c0ea127dc35bb,Popular songs of 2005,https://vk.com/music/playlist/341086807_224_63607c0ea127dc35bb
341086807_225_f58dcaa3fb6683d923,Popular songs of 2006,https://vk.com/music/playlist/341086807_225_f58dcaa3fb6683d923
341086807_204_5a25db9d55b98172fd,Popular songs of 2007,https://vk.com/music/playlist/341086807_204_5a25db9d55b98172fd
341086807_205_3e84515e7331e46619,Popular songs of 2008,https://vk.com/music/playlist/341086807_205_3e84515e7331e46619
341086807_226_143da5cbb2d8a5ab1b,Popular songs of 2009,https://vk.com/music/playlist/341086807_226_143da5cbb2d8a5ab1b
341086807_227_900be70c40ddbb6a06,Popular songs of 2010,https://vk.com/music/playlist/341086807_227_900be70c40ddbb6a06
341086807_228_160a9c9c23f2c84101,Popular songs of 2011,https://vk.com/music/playlist/341086807_228_160a9c9c23f2c84101
341086807_229_d2090658cba48f5eee,Popular songs of 2012,https://vk.com/music/playlist/341086807_229_d2090658cba48f5eee
341086807_230_2f78ae5d2254ebdb4c,Popular songs of 2013,https://vk.com/music/playlist/341086807_230_2f78ae5d2254ebdb4c
341086807_231_d671a8eeaa490f7503,Popular songs of 2014,https://vk.com/music/playlist/341086807_231_d671a8eeaa490f7503
341086807_232_07914517945f7e17dc,Popular songs of 2015,https://vk.com/music/playlist/341086807_232_07914517945f7e17dc
341086807_233_949d3677a33adf5dc2,Popular songs of 2016,https://vk.com/music/playlist/341086807_233_949d3677a33adf5dc2
341086807_234_364f12d30cb39bc507,Popular songs of 2017,https://vk.com/music/playlist/341086807_234_364f12d30cb39bc507
341086807_235_07540d7ae92a2e09ee,Popular songs of 2018,https://vk.com/music/playlist/341086807_235_07540d7ae92a2e09ee
341086807_236_3bb39ccdf190f11af3,Popular songs of 2019,https://vk.com/music/playlist/341086807_236_3bb39ccdf190f11af3
341086807_237_b575b60ad20c534e4c,Popular songs of 2020,https://vk.com/music/playlist/341086807_237_b575b60ad20c534e4c
341086807_242_414ca42e6a9885bca6,Popular songs of 2021,https://vk.com/music/playlist/341086807_242_414ca42e6a9885bca6
341086807_243_e3c9376d8dacf8d866,Popular songs of 2022,https://vk.com/music/playlist/341086807_243_e3c9376d8dacf8d866
341086807_244_ec24b3b98e1c063a65,Popular songs of 2023,https://vk.com/music/playlist/341086807_244_ec24b3b98e1c063a65
341086807_238_057bf79995ce6db036,Popular songs of 2024,https://vk.com/music/playlist/341086807_238_057bf79995ce6db036
341086807_333_5f3b3f06eac29a2eaf,Popular songs of 1958-1959,https://vk.com/music/playlist/341086807_333_5f3b3f06eac29a2eaf
341086807_334_812bb9506b52471b58,Popular songs of 1959-1960,https://vk.com/music/playlist/341086807_334_812bb9506b52471b58
341086807_263_54ea7f9b80ea440cba,Popular songs of 1960-1961,https://vk.com/music/playlist/341086807_263_54ea7f9b80ea440cba
341086807_264_ce8c71e5ccb19ec193,Popular songs of 1961-1962,https://vk.com/music/playlist/341086807_264_ce8c71e5ccb19ec193
341086807_265_f2cc9984b45f1dfd9c,Popular songs of 1962-1963,https://vk.com/music/playlist/341086807_265_f2cc9984b45f1dfd9c
341086807_266_f5a2a366fb563c2589,Popular songs of 1963-1964,https://vk.com/music/playlist/341086807_266_f5a2a366fb563c2589
341086807_267_5cc7d8008bfc8a3ab8,Popular songs of 1964-1965,https://vk.com/music/playlist/341086807_267_5cc7d8008bfc8a3ab8
341086807_268_6897b49ea5ece3048e,Popular songs of 1965-1966,https://vk.com/music/playlist/341086807_268_6897b49ea5ece3048e
341086807_245_5c9f2eeeb43b087f54,Popular songs of 1966-1967,https://vk.com/music/playlist/341086807_245_5c9f2eeeb43b087f54
341086807_246_ec49d3b37597431293,Popular songs of 1967-1968,https://vk.com/music/playlist/341086807_246_ec49d3b37597431293
341086807_247_6b85d5c0b60ea09716,Popular songs of 1968-1969,https://vk.com/music/playlist/341086807_247_6b85d5c0b60ea09716
341086807_248_cc6968e63c214eed40,Popular songs of 1969-1970,https://vk.com/music/playlist/341086807_248_cc6968e63c214eed40
341086807_249_381e814c176960f6d4,Popular songs of 1970-1971,https://vk.com/music/playlist/341086807_249_381e814c176960f6d4
341086807_250_23cfba3772e35c34e4,Popular songs of 1971-1972,https://vk.com/music/playlist/341086807_250_23cfba3772e35c34e4
341086807_251_ef33885e9625f7e3f4,Popular songs of 1972-1973,https://vk.com/music/playlist/341086807_251_ef33885e9625f7e3f4
341086807_252_feae8128cdb593a2a5,Popular songs of 1973-1974,https://vk.com/music/playlist/341086807_252_feae8128cdb593a2a5
341086807_253_6208702b25dd162057,Popular songs of 1974-1975,https://vk.com/music/playlist/341086807_253_6208702b25dd162057
341086807_254_df70fc8a5c4ed13318,Popular songs of 1975-1976,https://vk.com/music/playlist/341086807_254_df70fc8a5c4ed13318
341086807_255_4fbfa9dc893e802956,Popular songs of 1976-1977,https://vk.com/music/playlist/341086807_255_4fbfa9dc893e802956
341086807_283_dd657081e6e1c59419,Popular songs of 1977-1978,https://vk.com/music/playlist/341086807_283_dd657081e6e1c59419
341086807_284_4b9b1141ff11d9393c,Popular songs of 1978-1979,https://vk.com/music/playlist/341086807_284_4b9b1141ff11d9393c
341086807_285_a7a3f5b11cab8ace12,Popular songs of 1979-1980,https://vk.com/music/playlist/341086807_285_a7a3f5b11cab8ace12
341086807_277_052979cba52f81716b,Popular songs of 1980-1981,https://vk.com/music/playlist/341086807_277_052979cba52f81716b
341086807_286_9a5cc651f66ce1aa1f,Popular songs of 1981-1982,https://vk.com/music/playlist/341086807_286_9a5cc651f66ce1aa1f
341086807_287_2b53d13e353122a054,Popular songs of 1982-1983,https://vk.com/music/playlist/341086807_287_2b53d13e353122a054
341086807_288_5ae4f9d630f473d80a,Popular songs of 1983-1984,https://vk.com/music/playlist/341086807_288_5ae4f9d630f473d80a
,Popular songs of 1984-1985,https://vk.com/music/playlist/341086807_289_9809a2db2656ace762
,Popular songs of 1985-1986,https://vk.com/music/playlist/341086807_290_71a647ab368ec0258a
,Popular songs of 1986-1987,https://vk.com/music/playlist/341086807_291_a36f41c41dc2c75604
,Popular songs of 1987-1988,https://vk.com/music/playlist/341086807_292_cbbffd25b3f9ea657e
